alpha,alphafinal,epsilon,epsilonfinal,gamma,lambda,agt#,winrate
0.4,0.3,0.0,0.0,1.0,0.0,3,0.7400000000000004
0.4,0.3,0.0,0.0,1.0,0.0,4,0.7900000000000005
0.4,0.3,0.0,0.0,1.0,0.0,5,0.6900000000000004
0.4,0.3,0.0,0.0,1.0,0.0,6,0.6600000000000004
0.4,0.3,0.0,0.0,1.0,0.0,7,0.7000000000000004
0.4,0.3,0.0,0.0,1.0,0.0,8,0.7600000000000005
0.4,0.3,0.0,0.0,1.0,0.0,9,0.7500000000000004
0.4,0.4,0.0,0.0,1.0,0.0,0,0.5800000000000003
0.4,0.4,0.0,0.0,1.0,0.0,1,0.4800000000000002
0.4,0.4,0.0,0.0,1.0,0.0,2,0.6600000000000004
0.4,0.4,0.0,0.0,1.0,0.0,3,0.6600000000000004
0.4,0.4,0.0,0.0,1.0,0.0,4,0.7300000000000004
0.4,0.4,0.0,0.0,1.0,0.0,5,0.6400000000000003
0.4,0.4,0.0,0.0,1.0,0.0,6,0.7200000000000004
0.4,0.4,0.0,0.0,1.0,0.0,7,0.6200000000000003
0.4,0.4,0.0,0.0,1.0,0.0,8,0.6700000000000004
0.4,0.4,0.0,0.0,1.0,0.0,9,0.6000000000000003
0.4,0.5,0.0,0.0,1.0,0.0,0,0.6600000000000004
0.4,0.5,0.0,0.0,1.0,0.0,1,0.6000000000000003
0.4,0.5,0.0,0.0,1.0,0.0,2,0.6800000000000004
0.4,0.5,0.0,0.0,1.0,0.0,3,0.7000000000000004
0.4,0.5,0.0,0.0,1.0,0.0,4,0.6300000000000003
0.4,0.5,0.0,0.0,1.0,0.0,5,0.6400000000000003
0.4,0.5,0.0,0.0,1.0,0.0,6,0.6400000000000003
0.4,0.5,0.0,0.0,1.0,0.0,7,0.6500000000000004
0.4,0.5,0.0,0.0,1.0,0.0,8,0.7600000000000005
0.4,0.5,0.0,0.0,1.0,0.0,9,0.6900000000000004
0.4,0.6,0.0,0.0,1.0,0.0,0,0.6700000000000004
0.4,0.6,0.0,0.0,1.0,0.0,1,0.6800000000000004
0.4,0.6,0.0,0.0,1.0,0.0,2,0.6500000000000004
0.4,0.6,0.0,0.0,1.0,0.0,3,0.6000000000000003
0.4,0.6,0.0,0.0,1.0,0.0,4,0.6300000000000003
0.4,0.6,0.0,0.0,1.0,0.0,5,0.6500000000000004
0.4,0.6,0.0,0.0,1.0,0.0,6,0.7400000000000004
0.4,0.6,0.0,0.0,1.0,0.0,7,0.6100000000000003
0.4,0.6,0.0,0.0,1.0,0.0,8,0.6600000000000004
